date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2021-11-30 19:59:36.10 23.8002 121.5723 27.98 3.08 97 1.70 59 0.33 0.20 0.20 F 177 B
2021-12-01 03:43:40.49 24.1840 121.7187 51.59 2.82 48 10.10 59 0.44 0.80 0.90 F 96 A
2021-12-01 05:11:16.41 23.8287 121.5490 22.88 1.84 16 4.80 151 0.29 0.80 0.90 F 32 C
2021-12-01 13:22:08.00 24.1673 121.8267 57.84 2.36 41 17.40 68 0.36 0.60 0.50 F 66 B
2021-12-01 14:37:45.56 23.8530 121.5823 46.72 2.29 35 6.00 86 0.43 0.80 0.70 F 53 B
2021-12-01 19:15:55.34 23.7853 121.7045 44.09 2.38 48 14.40 143 0.33 0.30 0.30 F 83 C
2021-12-02 00:13:48.75 24.1868 121.7352 42.11 3.11 61 11.80 50 0.34 0.30 0.40 F 113 B
2021-12-02 02:40:01.32 23.9672 121.6847 49.98 2.27 17 7.30 221 0.47 1.30 1.10 F 29 D
2021-12-02 02:59:34.42 23.5057 121.8858 37.58 2.57 24 41.20 117 0.49 0.90 1.60 F 40 C
2021-12-02 03:48:49.99 24.1370 121.6025 7.25 1.29 5 3.10 136 0.35 1.10 0.70 F 7 C
2021-12-02 05:44:58.94 24.0687 121.6483 27.72 2.99 57 4.60 83 0.30 0.30 0.30 F 95 B
2021-12-02 06:39:09.36 24.0702 121.6472 28.65 2.95 56 4.50 83 0.30 0.30 0.20 F 98 B
2021-12-02 07:36:50.47 24.2797 121.6825 5.03 1.62 15 6.00 187 0.28 0.60 0.60 F 23 C
2021-12-02 08:35:20.30 23.7430 121.4735 8.43 3.77 99 8.30 43 0.35 0.10 0.10 F 202 B
2021-12-02 12:04:00.15 23.9768 121.5888 38.69 2.50 42 2.50 72 0.33 0.40 0.50 F 77 B
2021-12-02 18:45:30.76 23.5803 121.5508 39.58 2.59 71 14.10 48 0.31 0.20 0.20 F 126 B
2021-12-02 19:13:12.95 23.9648 121.8477 42.74 2.31 42 23.90 113 0.40 0.40 0.60 F 70 C
2021-12-02 22:21:11.38 24.2037 121.7167 48.15 1.98 37 10.80 83 0.31 0.80 0.90 F 60 A
2021-12-02 23:13:03.70 24.1610 121.8837 47.20 2.70 42 23.80 56 0.35 0.40 0.40 F 77 B
2021-12-03 04:28:30.48 23.7508 121.3405 15.12 1.58 7 5.90 136 0.25 0.60 0.60 F 13 C
2021-12-03 06:04:53.53 24.1643 121.3768 64.31 2.44 17 10.90 75 0.34 0.60 0.50 F 30 B
2021-12-04 00:22:24.81 23.9220 121.8993 40.78 2.40 38 29.70 74 0.32 0.40 0.50 F 70 B
2021-12-04 00:44:49.22 23.8795 121.2500 17.14 1.88 18 11.20 46 0.32 0.40 0.60 F 31 B
